Minimum_Temperature,Maximum_Temperature,Temperature,Dew_Point,Relative_Humidity,Wind_Speed,Wind_Direction,Precipitation,Visibility,Cloud_Cover,Sea_Level_Pressure,Weather_Type
80.6,80.6,80.6,78.8,94.27,5.8,130,0,1.9,89,997,Light Rain
82.4,82.4,82.4,80.6,94.32,4.7,180,0,2.5,89,998,Smoke Or Haze
82.7,82.7,82.7,80.6,93.19,3.2,171,0.01,1.4,99.3,998.3,"Rain, Light Rain, Sky Coverage Increasing"
82.4,82.4,82.4,80.6,94.32,5.8,150,0,1.9,89,998,Smoke Or Haze
86,86,86,80.6,84.01,9.2,160,0,1.9,50,998,Smoke Or Haze
88.4,88.4,88.4,80.7,78.01,6.4,169,0,2.2,78.6,998,"Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing"
84.2,84.2,84.2,80.6,88.99,9.2,120,0,1.9,89,997,Smoke Or Haze
86,86,86,82.4,89.07,10.3,140,0,1.9,89,997,Smoke Or Haze
85.2,85.2,85.2,81,87.25,4.7,140,0.1,2.3,89.7,996.7,"Rain, Light Rain, Sky Coverage Increasing, Smoke Or Haze"
84.2,84.2,84.2,80.6,88.99,6.9,140,0,1.9,89,996,Smoke Or Haze
86,86,86,80.6,84.01,9.2,90,0,2.5,89,996,Smoke Or Haze
85.8,85.8,85.8,80.7,84.71,5,99,0,2.5,50.7,995.8,"Rain, Sky Coverage Increasing, Smoke Or Haze"
84.2,84.2,84.2,80.6,88.99,8.1,110,0,2.5,50,996,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,5.8,110,0,2.5,50,997,Smoke Or Haze
82.9,82.9,82.9,80.6,92.84,2.3,109,0,2.2,43.2,997.8,"Sky Coverage Decreasing, Smoke Or Haze"
82.4,82.4,82.4,80.6,94.32,4.7,80,0,1.9,50,998,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,4.7,110,0,1.9,50,999,Smoke Or Haze
82.6,82.6,82.6,81,95.06,3,131,0,2.3,43.1,998.7,"Sky Coverage Decreasing, Smoke Or Haze"
82.4,82.4,82.4,80.6,94.32,4.7,60,0,1.9,50,998,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,4.7,80,0,1.9,50,998,Smoke Or Haze
81.9,81.9,81.9,79.5,92.64,2.3,127,0.04,2.2,53.5,997.9,Light Rain
80.6,80.6,80.6,78.8,94.27,0,0,0,1.9,89,997,Light Rain
78.8,78.8,78.8,77,94.23,0,0,0,1.9,50,997,Smoke Or Haze
81.4,81.4,81.4,78.4,90.72,1.6,73,0,2.3,43.1,998.1,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,5.8,80,0,1.9,50,999,Smoke Or Haze
84.2,84.2,84.2,78.8,83.9,6.9,90,0,1.9,89,999,Smoke Or Haze
86.6,86.6,86.6,80.8,82.98,4.7,104,0,2.3,89.4,999.1,Smoke Or Haze
87.8,87.8,87.8,80.6,79.33,9.2,110,0,1.9,50,999,Smoke Or Haze
89.6,89.6,89.6,80.6,74.95,10.3,120,0,2.5,50,998,Smoke Or Haze
91.3,91.3,91.3,79.9,69.47,5.4,107,0,2.3,48.4,998.4,"Rain, Smoke Or Haze"
93.2,93.2,93.2,80.6,66.98,8.1,120,0,2.5,50,998,Smoke Or Haze
93.2,93.2,93.2,80.6,66.98,9.2,100,0,2.5,50,997,Smoke Or Haze
93.5,93.5,93.5,80.8,66.88,7,102,0,2.5,78.1,996.4,"Rain, Thunderstorm Without Precipitation, Smoke Or Haze"
89.6,89.6,89.6,82.4,79.47,9.2,100,0,2.5,89,996,Smoke Or Haze
91.4,91.4,91.4,82.4,75.11,9.2,150,0,2.5,89,996,Smoke Or Haze
86.7,86.7,86.7,80.4,81.51,3.6,145,0,2.2,81.3,996.4,"Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Increasing"
82.4,82.4,82.4,82.4,100,6.9,120,0,1.9,89,996,Light Rain
84.2,84.2,84.2,80.6,88.99,5.8,140,0,1.9,50,997,Smoke Or Haze
85.3,85.3,85.3,81.4,88.33,2.1,170,0,2.3,50.2,998.2,"Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze"
84.2,84.2,84.2,80.6,88.99,4.7,160,0,1.9,50,998,Smoke Or Haze
84.2,84.2,84.2,80.6,88.99,0,0,0,1.9,50,998,Smoke Or Haze
84.3,84.3,84.3,80.4,88.3,2.2,165,0,2.3,29.3,998.4,"Sky Coverage Decreasing, Smoke Or Haze"
82.4,82.4,82.4,80.6,94.32,4.7,130,0,1.9,27.5,998,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,3.4,140,0,1.9,27.5,998,Smoke Or Haze
83.2,83.2,83.2,80.4,91.32,0,0,0,2.3,15.4,997.8,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,0,0,0,1.9,27.5,998,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,0,0,0,1.9,27.5,998,Smoke Or Haze
82.8,82.8,82.8,80.7,93.18,1.4,20,0,2.3,36.1,998.2,Smoke Or Haze
84.2,84.2,84.2,80.6,88.99,4.7,40,0,1.9,50,998,Smoke Or Haze
84.2,84.2,84.2,80.6,88.99,4.7,20,0,1.9,50,998,Smoke Or Haze
89.3,89.3,89.3,81.3,77.5,3.3,72,0,2.2,74.8,998.7,Smoke Or Haze
89.6,89.6,89.6,82.4,79.47,9.2,80,0,1.9,50,999,Smoke Or Haze
91.4,91.4,91.4,82.4,75.11,9.2,110,0,2.5,50,999,Smoke Or Haze
92.4,92.4,92.4,81.2,69.94,2.3,129,0.01,2.3,58.9,997.7,"Sky Coverage Decreasing, Smoke Or Haze"
95,95,95,82.4,67.17,6.9,100,0,2.5,50,997,Smoke Or Haze
96.8,96.8,96.8,84.2,67.37,6.9,80,0,2.5,50,996,Smoke Or Haze
96.6,96.6,96.6,79,57.22,3.6,93,0,2.5,43.4,995.6,Smoke Or Haze
96.8,96.8,96.8,82.4,63.57,5.8,90,0,2.5,50,994,Smoke Or Haze
96.8,96.8,96.8,84.2,67.37,5.8,100,0,2.5,50,994,Smoke Or Haze
95.1,95.1,95.1,79.8,61.58,1.7,135,0,2.5,36.1,994.2,Smoke Or Haze
93.2,93.2,93.2,82.4,71.01,3.4,120,0,2.5,50,994,Smoke Or Haze
93.2,93.2,93.2,80.6,66.98,3.4,160,0,2.5,50,995,Smoke Or Haze
90.6,90.6,90.6,81.1,73.92,0,0,0,2.5,36.2,996.6,Smoke Or Haze
91.4,91.4,91.4,78.8,66.78,0,0,0,2.5,50,997,Smoke Or Haze
91.4,91.4,91.4,80.6,70.84,0,0,0,2.5,50,997,Smoke Or Haze
87.9,87.9,87.9,82.7,84.66,1,150,0,2.5,36.2,997.2,Smoke Or Haze
87.8,87.8,87.8,82.4,84.11,4.7,170,0,2.5,50,996,Smoke Or Haze
87.8,87.8,87.8,82.4,84.11,4.7,220,0,2.5,50,995,Smoke Or Haze
87.6,87.6,87.6,82.8,85.85,1.4,230,0,2.5,57,995.6,Smoke Or Haze
86,86,86,82.4,89.07,3.4,260,0,2.5,50,996,Smoke Or Haze
86,86,86,82.4,89.07,4.7,270,0,1.9,89,995,Smoke Or Haze
86.8,86.8,86.8,82.8,88.06,1.8,270,0,2.3,89.7,995.9,"Light Rain, Smoke Or Haze"
87.8,87.8,87.8,84.2,89.14,3.4,250,0,1.9,89,995,Thunderstorm Without Precipitation
84.2,84.2,84.2,84.2,100,6.9,120,0,1.2,89,996,Thunderstorm
85.6,85.6,85.6,81.5,87.42,3.1,92,0.28,2.2,81.9,996.4,"Thunderstorm, Light Rain"
87.8,87.8,87.8,84.2,89.14,8.1,120,0,1.9,100,996,Smoke Or Haze
91.4,91.4,91.4,82.4,75.11,11.4,100,0,2.5,89,996,Smoke Or Haze
92.4,92.4,92.4,81.2,70.1,7.4,107,0.01,2.5,68.7,996,"Sky Coverage Increasing, Smoke Or Haze"
91.4,91.4,91.4,82.4,75.11,9.2,100,0,2.5,89,995,Smoke Or Haze
91.4,91.4,91.4,82.4,75.11,8.1,80,0,2.5,89,995,Smoke Or Haze
94,94,94,81.4,67.19,5.6,82,0,2.7,57.5,993.8,Smoke Or Haze
93.2,93.2,93.2,80.6,66.98,10.3,90,0,3.7,50,994,Light Rain
93.2,93.2,93.2,80.6,66.98,13.9,80,0,3.7,50,993,
91.5,91.5,91.5,79.1,67.16,7.8,99,0,2.9,57.1,992.9,Sky Coverage Increasing
89.6,89.6,89.6,80.6,74.95,11.4,90,0,3.1,50,993,Smoke Or Haze
87.8,87.8,87.8,80.6,79.33,10.3,90,0,2.5,50,994,Smoke Or Haze
87.1,87.1,87.1,78.9,76.87,5.4,84,0,2.3,50,995.3,"Sky Coverage Decreasing, Smoke Or Haze"
84.2,84.2,84.2,80.6,88.99,6.9,90,0,1.9,50,996,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,9.2,90,0,1.9,50,996,Smoke Or Haze
84.1,84.1,84.1,79.8,86.97,5.4,87,0,2.3,36.2,995.3,"Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze"
82.4,82.4,82.4,80.6,94.32,6.9,70,0,1.9,89,994,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,6.9,90,0,1.9,89,994,Light Rain
81.5,81.5,81.5,79.5,93.69,6.2,95,0,2.3,89.7,993.3,Light Rain
80.6,80.6,80.6,78.8,94.27,8.1,70,0,1.9,89,993,Light Rain
80.6,80.6,80.6,78.8,94.27,8.1,70,0,1.9,89,993,Light Rain
81.7,81.7,81.7,79.2,92.39,6.1,90,0.08,2.3,68.9,993.6,"Sky Coverage Decreasing, Smoke Or Haze"
82.4,82.4,82.4,78.8,88.92,9.2,60,0,1.9,89,993,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,11.4,70,0,1.2,89,994,Light Rain
82.3,82.3,82.3,80.2,93.16,7.4,85,0,2.3,96.1,994.4,"Rain, Light Rain"
82.4,82.4,82.4,80.6,94.32,15,60,0,1.2,89,995,Rain
82.4,82.4,82.4,80.6,94.32,13.9,80,0,1.2,89,994,Rain
83.3,83.3,83.3,80.5,91.37,10.4,101,0.16,2.1,96.6,993.9,"Rain, Light Rain, Sky Coverage Increasing"
82.4,82.4,82.4,80.6,94.32,13.9,80,0,1.2,89,994,Rain
80.6,80.6,80.6,80.6,100,13.9,100,0,1.2,89,993,Rain
84.1,84.1,84.1,81.3,91.19,7.5,125,0.1,1.6,89.7,992.8,"Light Rain, Sky Coverage Increasing"
82.4,82.4,82.4,80.6,94.32,11.4,100,0,1.9,89,992,Light Rain
84.2,84.2,84.2,80.6,88.99,13.9,100,0,1.9,89,992,Light Rain
83.2,83.2,83.2,80.5,91.59,6.6,124,0,2.3,96.3,992.5,"Rain, Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,11.4,120,0,1.9,89,993,Light Rain
80.6,80.6,80.6,78.8,94.27,10.3,110,0,1.9,89,993,Light Rain
82.3,82.3,82.3,79.8,92.07,6.3,105,0,2.2,100,994,Rain
80.6,80.6,80.6,78.8,94.27,13.9,110,0,1.9,100,994,Light Rain
80.6,80.6,80.6,78.8,94.27,10.3,110,0,1.9,100,994,Light Rain
81.9,81.9,81.9,79.9,93.55,6.7,137,0.23,2.3,89.7,994.3,"Rain, Light Rain, Sky Coverage Decreasing"
80.6,80.6,80.6,80.6,100,11.4,120,0,1.9,89,994,Light Rain
80.6,80.6,80.6,78.8,94.27,11.4,130,0,1.9,89,993,Light Rain
80.8,80.8,80.8,79.6,96.23,6.7,116,0,2.3,89.7,993.1,"Light Rain, Sky Coverage Increasing"
78.8,78.8,78.8,77,94.23,10.3,130,0,1.9,100,992,Light Rain
78.8,78.8,78.8,77,94.23,9.2,130,0,1.9,100,994,Light Rain
80.5,80.5,80.5,78.7,94.27,7.2,134,0,2.3,93.1,993.3,"Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,10.3,130,0,1.9,100,994,Light Rain
78.8,78.8,78.8,77,94.23,11.4,130,0,1.2,100,995,Light Rain
81,81,81,79.3,94.38,7,140,0.13,2.3,100,995.3,Light Rain
80.6,80.6,80.6,78.8,94.27,13.9,160,0,1.2,100,996,Light Rain
80.6,80.6,80.6,78.8,94.27,13.9,150,0,1.9,100,996,Light Rain
81.9,81.9,81.9,78.9,90.78,7.1,182,0,2.2,100,995.8,"Light Rain, Sky Coverage Decreasing"
82.4,82.4,82.4,80.6,94.32,20.8,160,0,1.2,100,995,Light Rain
82.4,82.4,82.4,80.6,94.32,16.1,160,0,1.9,89,994,Smoke Or Haze
82,82,82,79,90.76,8.8,176,0.13,2.3,100,994.6,"Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,16.1,180,0,1.9,100,994,Light Rain
80.6,80.6,80.6,78.8,94.27,13.9,160,0,1.2,100,994,Light Rain
81.9,81.9,81.9,78.9,90.67,6.3,173,0,2.1,93,995.3,"Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,8.1,140,0,1.2,100,995,Light Rain
80.6,80.6,80.6,78.8,94.27,11.4,160,0,1.2,100,997,Light Rain
81.2,81.2,81.2,79.7,95.37,4.3,166,0.19,1.2,100,997.9,"Rain, Light Rain"
80.6,80.6,80.6,78.8,94.27,9.2,130,0,1.2,100,998,Light Rain
80.6,80.6,80.6,78.8,94.27,6.9,140,0,1.2,100,998,Smoke Or Haze
80.4,80.4,80.4,78.9,95.02,7.6,218,0.55,1.3,99.8,998.9,"Rain, Light Rain"
78.8,78.8,78.8,78.8,100,10.3,150,0,1.2,100,998,Thunderstorm
78.8,78.8,78.8,78.8,100,8.1,160,0,1.2,100,998,Thunderstorm
79.2,79.2,79.2,78.6,97.96,7.8,221,1.1,1.3,100,998.1,"Thunderstorm, Rain"
77,77,77,75.2,94.19,10.3,200,0,1.2,100,998,Thunderstorm
77,77,77,75.2,94.19,9.2,180,0,1.2,100,998,Rain
79.2,79.2,79.2,78.1,96.2,5.1,191,0.1,2.1,86.2,997.9,Light Rain
78.8,78.8,78.8,77,94.23,6.9,160,0,1.2,100,998,Light Rain
80.6,80.6,80.6,77,88.84,6.9,170,0,1.2,100,999,Light Rain
79.7,79.7,79.7,77.9,94.25,4.9,186,0.49,2.1,99.4,999.9,"Light Rain, Sky Coverage Increasing"
78.8,78.8,78.8,77,94.23,4.7,110,0,1.9,50,,Light Rain
83.2,83.2,83.2,79.7,89.03,10.4,134,0,1.9,69.7,1000,Smoke Or Haze
85.3,85.3,85.3,81.7,88.94,3.3,220,0.01,2.2,96.4,999.5,"Rain, Light Rain, Sky Coverage Increasing"
86,86,86,84.2,94.4,8.1,200,0,1.9,89,998,Light Rain
84.2,84.2,84.2,82.4,94.36,6.9,160,0,1.9,89,998,Light Rain
84.1,84.1,84.1,81.3,91.36,2.8,180,0.01,1.5,99.9,998.3,"Rain, Light Rain, Sky Coverage Increasing"
84.2,84.2,84.2,80.6,88.99,8.1,180,0,1.9,89,997,Smoke Or Haze
84.2,84.2,84.2,82.4,94.36,5.8,140,0,1.9,89,998,Smoke Or Haze
85.3,85.3,85.3,81.6,88.85,3.2,188,0,2.3,96.5,998.4,"Sky Coverage Increasing, Smoke Or Haze"
84.2,84.2,84.2,80.6,88.99,4.7,150,0,1.9,89,998,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,5.8,150,0,1.9,89,999,Smoke Or Haze
83.7,83.7,83.7,80.8,90.95,4.8,191,0,2.3,68.9,1000.2,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,8.1,160,0,1.9,89,1000,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,6.9,170,0,1.9,89,1001,Smoke Or Haze
83.5,83.5,83.5,80.5,90.81,3.7,191,0,2.3,82.6,1001,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,6.9,170,0,1.9,89,1000,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,5.8,170,0,1.9,89,999,Smoke Or Haze
83.2,83.2,83.2,79.2,87.89,3.3,191,0,2.3,89.5,999.7,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,4.7,170,0,1.9,89,999,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,5.8,180,0,1.9,89,999,Smoke Or Haze
81.9,81.9,81.9,77.8,87.27,5.7,194,0,2.3,89.6,1000.2,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,9.2,180,0,1.9,50,1000,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,16.1,180,0,1.9,100,1002,Light Rain
80.4,80.4,80.4,78.3,93.36,3.4,191,0.16,2.1,99.5,1002.2,Light Rain
80.6,80.6,80.6,78.8,94.27,10.3,190,0,1.9,100,1002,Light Rain
80.6,80.6,80.6,78.8,94.27,11.4,180,0,2.5,100,1002,Light Rain
84,84,84,79.8,87.34,5.4,229,0.01,2.5,83.1,1001.7,"Rain, Sky Coverage Increasing, Smoke Or Haze"
86,86,86,80.6,84.01,9.2,170,0,2.5,89,1000,Smoke Or Haze
86,86,86,82.4,89.07,10.3,180,0,1.9,89,1000,Smoke Or Haze
89.4,89.4,89.4,80.4,74.82,6.3,221,0,2.3,82.9,999.7,Smoke Or Haze
87.8,87.8,87.8,82.4,84.11,8.1,210,0,1.9,89,999,Smoke Or Haze
86,86,86,80.6,84.01,11.4,180,0,1.9,89,999,Smoke Or Haze
86,86,86,79.8,81.88,4.7,171,0,2.3,83,999.5,Smoke Or Haze
84.2,84.2,84.2,78.8,83.9,10.3,180,0,1.9,89,999,Smoke Or Haze
84.2,84.2,84.2,80.6,88.99,9.2,180,0,1.9,27.5,1000,Smoke Or Haze
84.3,84.3,84.3,78.9,84.08,5,215,0,2.3,50.2,1001.5,Smoke Or Haze
82.4,82.4,82.4,82.4,100,5.8,160,0,1.9,50,1002,Smoke Or Haze
82.4,82.4,82.4,80.6,94.32,4.7,130,0,1.9,50,1002,Smoke Or Haze
83.5,83.5,83.5,80.4,90.58,1,150,0,2.3,56.9,1001.7,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,4.7,160,0,1.9,50,1001,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,4.7,160,0,1.9,50,1001,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,5.8,190,0,1.9,50,1000,Smoke Or Haze
83.5,83.5,83.5,79.9,88.96,1.8,180,0,2.3,77.7,1000.2,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,5.8,180,0,1.9,50,1000,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,4.7,170,0,1.9,50,999,Smoke Or Haze
83.5,83.5,83.5,80.2,90.08,2.9,221,0,2.3,96.6,1000.1,Smoke Or Haze
84.2,84.2,84.2,80.6,88.99,5.8,210,0,1.9,89,1000,Smoke Or Haze
86,86,86,80.6,84.01,6.9,210,0,1.9,89,1001,Smoke Or Haze
86.5,86.5,86.5,81.8,86.1,4.5,223,0,2.2,89.7,1001.2,Smoke Or Haze
87.8,87.8,87.8,82.4,84.11,6.9,220,0,1.9,89,1001,Smoke Or Haze
89.6,89.6,89.6,80.6,74.95,5.8,220,0,1.9,89,1001,Smoke Or Haze
87.8,87.8,87.8,81,80.33,3.6,317,0,2.3,89.9,1001.2,Smoke Or Haze
86,86,86,82.4,89.07,10.3,160,0,1.9,89,1000,Thunderstorm
80.6,80.6,80.6,78.8,94.27,9.2,160,0,1.2,100,1000,Thunderstorm
81.4,81.4,81.4,79.1,92.79,2.9,171,0.01,2.1,100,999.6,"Thunderstorm, Light Rain"
80.6,80.6,80.6,78.8,94.27,8.1,140,0,1.2,100,999,Thunderstorm
80.6,80.6,80.6,78.8,94.27,8.1,160,0,1.2,100,999,Light Rain
82.2,82.2,82.2,80.1,93.4,1.8,261,0,2.1,99.8,999.1,"Light Drizzle, Thunderstorm, Light Rain"
80.6,80.6,80.6,78.8,94.27,5.8,160,0,1.2,100,999,Light Rain
80.6,80.6,80.6,78.8,94.27,4.7,140,0,1.9,100,1000,Light Rain
82.2,82.2,82.2,80.3,94.1,2.6,143,0,2.2,100,1001.5,"Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,4.7,150,0,1.9,100,1001,Light Rain
80.6,80.6,80.6,78.8,94.27,4.7,150,0,1.9,100,1001,Light Rain
81.1,81.1,81.1,79.3,94.3,1.8,290,0,2.1,99.9,1001.3,"Thunderstorm, Light Rain, Sky Coverage Decreasing"
78.8,78.8,78.8,77,94.23,5.8,210,0,1.9,100,1000,Light Rain
78.8,78.8,78.8,77,94.23,8.1,210,0,1.2,100,1000,Thunderstorm
80.7,80.7,80.7,79.1,94.82,0.9,215,1.06,2.1,100,1000,"Thunderstorm, Light Rain"
77,77,77,75.2,94.19,3.4,220,0,1.2,100,999,Thunderstorm
77,77,77,73.4,88.68,0,0,0,1.2,100,999,Thunderstorm
79.7,79.7,79.7,78.5,96.22,2.6,279,0,2.1,100,1000.3,"Rain, Light Rain"
77,77,77,75.2,94.19,3.4,100,0,1.2,100,1001,Light Rain
77,77,77,75.2,94.19,4.7,150,0,1.2,100,1001,Light Rain
80.5,80.5,80.5,79.1,95.36,0.9,160,0.13,2.1,100,1001.9,"Thunderstorm, Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,4.7,200,0,1.2,100,1002,Light Rain
78.8,78.8,78.8,77,94.23,4.7,220,0,1.2,100,1002,Thunderstorm
80.3,80.3,80.3,78.7,95.15,5,221,0.74,1.3,100,1001.9,"Thunderstorm, Light Rain"
78.8,78.8,78.8,77,94.23,9.2,250,0,1.2,100,1001,Thunderstorm
78.8,78.8,78.8,77,94.23,5.8,200,0,1.2,100,1000,Light Rain
79.9,79.9,79.9,78.3,95.1,3.9,221,0.1,2.1,100,999.5,Light Rain
80.6,80.6,80.6,78.8,94.27,6.9,230,0,1.2,100,999,Light Rain
80.6,80.6,80.6,78.8,94.27,5.8,230,0,1.2,89,999,Smoke Or Haze
81.1,81.1,81.1,79.3,94.31,3.6,226,0,2.1,96.5,999.3,"Sky Coverage Increasing, Smoke Or Haze"
80.6,80.6,80.6,78.8,94.27,5.8,220,0,1.2,89,999,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,4.7,190,0,1.9,89,1000,Smoke Or Haze
81,81,81,79.6,95.45,1.4,150,0,2.1,77.8,1001,"Light Rain, Smoke Or Haze"
80.6,80.6,80.6,78.8,94.27,5.8,160,0,1.2,50,1001,Light Rain
80.6,80.6,80.6,78.8,94.27,4.7,180,0,1.2,50,1001,Smoke Or Haze
81.4,81.4,81.4,79.9,95.06,3.3,188,0,2.1,77.7,1001,"Light Rain, Sky Coverage Increasing"
80.6,80.6,80.6,78.8,94.27,5.8,180,0,1.2,89,999,Light Rain
80.6,80.6,80.6,78.8,94.27,6.9,210,0,1.2,89,999,Smoke Or Haze
80.7,80.7,80.7,78.6,93.26,2.4,245,0,2.1,82.7,999.1,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,4.7,210,0,1.2,89,998,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,4.7,220,0,1.2,89,998,Smoke Or Haze
80.4,80.4,80.4,78.4,93.5,4.4,227,0,2.1,89.6,998.7,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,6.9,220,0,1.9,89,999,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,6.9,220,0,1.9,89,1000,Light Rain
80.9,80.9,80.9,78.2,91.66,3.3,233,0,2.4,97.5,1000.7,"Rain, Sky Coverage Increasing, Smoke Or Haze"
82.5,82.5,82.5,80.7,94.32,8.1,230,0,1.9,90,1000,Smoke Or Haze
84.2,84.2,84.2,80.6,88.99,6.9,250,0,1.9,89,1000,Smoke Or Haze
85.5,85.5,85.5,78.6,79.79,3.6,233,0,2.3,96.5,1000.3,"Sky Coverage Increasing, Smoke Or Haze"
86,86,86,80.6,84.01,8.1,250,0,1.9,89,999,Smoke Or Haze
86,86,86,80.6,84.01,8.1,210,0,1.9,89,998,Smoke Or Haze
87.1,87.1,87.1,81,82.12,4.7,221,0,2.3,89.4,998.3,"Sky Coverage Increasing, Smoke Or Haze"
86,86,86,82.4,89.07,4.7,320,0,1.9,89,997,Smoke Or Haze
84.2,84.2,84.2,82.4,94.36,3.4,100,0,1.9,100,997,Smoke Or Haze
82.8,82.8,82.8,80.4,92.31,2.5,192,0.32,1.3,99.6,998.7,"Thunderstorm, Light Rain"
80.6,80.6,80.6,78.8,94.27,6.9,150,0,1.9,100,998,Thunderstorm
78.8,78.8,78.8,78.8,100,4.7,120,0,1.9,100,1000,Thunderstorm
80.9,80.9,80.9,79.5,95.6,1,180,0,2.3,100,1000.9,"Thunderstorm, Light Rain"
78.8,78.8,78.8,78.8,100,3.4,230,0,1.9,100,1001,Thunderstorm
78.8,78.8,78.8,78.8,100,5.8,200,0,1.9,100,1001,Thunderstorm
80.1,80.1,80.1,79.2,97.16,0.8,254,0.1,2.3,100,1001.2,"Thunderstorm, Light Rain"
78.8,78.8,78.8,78.8,100,0,0,0,1.9,100,1000,Light Rain
78.8,78.8,78.8,77,94.23,3.4,90,0,1.9,89,999,Smoke Or Haze
80.4,80.4,80.4,78.8,95.09,1.3,210,0.13,2.2,96.6,999.4,"Thunderstorm, Sky Coverage Increasing"
78.8,78.8,78.8,77,94.23,3.4,120,0,1.9,89,999,Light Rain
78.8,78.8,78.8,77,94.23,0,0,0,1.9,100,999,Light Rain
80.5,80.5,80.5,79.3,96.22,0.8,254,0,2.1,96.6,999.2,"Thunderstorm Without Precipitation, Sky Coverage Increasing, Smoke Or Haze"
80.6,80.6,80.6,78.8,94.27,0,0,0,1.2,89,1000,Smoke Or Haze
82.4,82.4,82.4,78.8,88.92,4.7,140,0,1.2,89,1000,Smoke Or Haze
84,84,84,80.3,88.58,3.6,214,0,2.1,89.5,1000.8,Smoke Or Haze
86,86,86,80.6,84.01,5.8,210,0,1.2,50,1000,Smoke Or Haze
86,86,86,82.4,89.07,4.7,200,0,1.2,89,1000,Smoke Or Haze
88.2,88.2,88.2,80.1,77.11,3.3,292,0,2.1,89.8,1000.4,"Sky Coverage Increasing, Smoke Or Haze"
87.8,87.8,87.8,82.4,84.11,4.7,200,0,1.2,89,999,Smoke Or Haze
87.8,87.8,87.8,82.4,84.11,3.4,170,0,1.9,89,999,Smoke Or Haze
89,89,89,80.2,75.44,4.2,196,0,2.2,91.1,998.5,Smoke Or Haze
80.6,80.6,80.6,78.8,94.27,9.2,130,0,1.2,100,997,Rain
80.6,80.6,80.6,78.8,94.27,3.4,10,0,1.2,89,998,Light Rain
83.4,83.4,83.4,80.9,92.15,6.6,214,0.06,1.9,92.8,998.2,"Thunderstorm, Rain"
78.8,78.8,78.8,78.8,100,4.7,240,0,1.2,100,999,Thunderstorm
78.8,78.8,78.8,77,94.23,3.4,260,0,1.2,100,1000,Thunderstorm
80.1,80.1,80.1,78.4,94.64,1,260,0.16,2.1,99.9,1000.6,"Lightning Without Thunder, Thunderstorm, Sky Coverage Increasing"
78.8,78.8,78.8,77,94.23,3.4,130,0,1.2,100,1001,Light Rain
78.8,78.8,78.8,77,94.23,3.4,140,0,1.2,89,1001,Smoke Or Haze
80.2,80.2,80.2,78.4,94.26,1,180,0,2.1,62,1000.6,"Sky Coverage Decreasing, Smoke Or Haze"
78.8,78.8,78.8,77,94.23,3.4,190,0,1.2,50,1000,Mist
80.6,80.6,80.6,78.8,94.27,3.4,190,0,1.2,50,999,Mist
81,81,81,79.2,94.26,1,260,0,2.1,70.9,998.9,Mist
80.6,80.6,80.6,78.8,94.27,0,0,0,1.2,50,998,Mist
78.8,78.8,78.8,77,94.23,0,0,0,1.2,50,998,Mist
80.8,80.8,80.8,79.5,95.94,0.5,41,0,2.1,98.1,999,"Light Rain, Smoke Or Haze"
80.6,80.6,80.6,78.8,94.27,3.4,130,0,1.2,89,999,Mist
